GPA,Leadership Capability,Technical Aptitude,Years of Experience,Soft Skills,Job Performance,Military Tenure,Avg Commute Time,Job Tenure,Employee Referrals,HireVue Score,Arrest Record,Criminal Record,Cultural Fit,Education,Educational Prestige
2.764308535,-0.550365949,2.731016485,5.864929019,2.832918846,-2,2.676821902,16.78924949,3.951696722,1,0,0,0,0,0,0
2.651863808,-0.113751658,2.497007471,4.664973489,2.767688518,-1,2.790377998,14.26284554,4.834550826,0,0,0,0,2,0,0
2.102897554,-0.782630071,0.794323355,3.735077795,1.792186072,-2,1.116853092,53.07934939,1.242669726,1,0,1,0,0,0,0
1.736719503,-0.080510537,1.139764042,3.800468144,1.081434753,-2,3.848732367,10,6.378411843,0,0,0,0,0,0,0
3.310769519,-0.066500203,1.196116697,2.013338264,2.613340969,-1,1.032745518,46.44508408,1.648113471,0,0,0,0,0,0,0
3.176283674,-0.222137959,1.735391122,3.274286831,2.277392086,-2,2.519932053,14.14918317,4.119279858,0,0,1,0,0,0,0
2.683613975,0.739887808,2.845103825,2.52519432,2.34485093,-1,1.204410408,36.96242189,1.713525088,0,0,0,0,0,0,0
2.663918119,-0.235641662,1.911094692,1.579002107,1.569228569,-2,3.738652223,10,6.795128681,1,0,0,0,0,0,0
2.561655854,-0.820923024,0.405480183,2.822330077,2.154414865,-2,4.27281149,10,7.421227094,0,0,0,0,0,0,0
3.218523171,0.256928893,0.44230152,2.650721274,2.786478972,1,1.786420866,46.47094501,1.947131902,0,2,0,0,0,0,0
2.515249988,-1.697149829,2.092857758,0.635794176,1.660131094,-2,3.195581885,6.022090758,5.392400083,0,0,0,0,0,0,0
3.527576471,1.018855833,3.841801452,5.104925211,4.160953108,2,2.926582329,10.08932079,4.644804117,0,2,1,0,2,0,0
2.053749444,-0.749667526,3.038590446,2.181127386,2.134806561,-2,2.639773037,7.2265861,4.354077816,0,0,0,0,0,0,0
2.488026031,0.434172068,0.265977433,2.723128975,1.684803728,-2,0.958370733,59.63332625,0.757764826,0,0,0,1,0,0,0
2.702164269,-0.222989523,1.726143414,2.183377322,2.371112554,-2,2.733384427,13.96984288,4.542246931,1,0,0,1,0,0,0
2.160886784,-0.942050866,2.05092834,2.633624899,1.817537059,-2,0.627108749,53.96457025,0.320078317,0,0,0,0,0,0,0
3.047253346,-0.001669042,2.004994701,5.757129906,2.843349381,-1,3.304316286,10,6.0394232,0,0,0,0,0,0,0
3.287289121,0.391912386,3.942703079,3.854200956,3.417526784,1,0.922974015,52.91835164,0.671871074,0,0,0,0,0,0,0
4.102130723,0.391944425,0.587546855,7.350056137,3.766646944,2,0.315703988,65.15050614,0,1,2,0,0,2,0,0
2.54821777,0.884273345,0.936777103,5.967561253,2.350758963,0,0.778157119,65.79496814,0,0,0,0,0,0,0,0
2.7798882,-0.399292816,2.455304254,-0.756897571,2.00217874,-2,2.884050392,9.467123938,4.848094172,0,0,0,0,0,0,0
3.347820536,0.272740407,2.391448894,3.11726454,3.264417581,1,2.352766887,20.57571345,3.612126476,1,2,0,0,0,0,0
3.399653092,-0.650487485,0.608107247,1.360423842,2.134493183,-2,1.884435082,36.54190729,2.962748801,0,1,0,0,0,0,0
2.763191429,-1.371367742,1.282633848,2.986773794,2.544244324,-2,1.787376992,50.17366976,2.316711089,0,0,0,0,0,0,0
2.685117355,-0.267136025,1.28234474,6.693656422,2.364673838,-2,1.42854162,40.33012005,2.138275008,0,0,0,0,0,0,0
2.601565528,-0.213616374,2.518247966,-0.203696092,1.921465135,-2,0.409982187,71.25478184,0,0,0,0,0,0,0,0
3.473869401,0.418874854,3.636890334,6.472162698,4.032712299,2,0.882879488,51.99195183,0.87512686,1,2,1,0,2,0,0
2.78682522,0.71564074,0.477930661,6.342448253,1.887655089,-2,0.855351347,53.35685263,0.733243212,0,0,0,0,0,0,0
2.425115369,-0.90375488,1.612777836,4.385861792,2.627450215,-2,3.681990914,10,6.276885048,0,0,0,0,0,0,0
3.078320362,-0.563526601,0.323782122,2.848788463,2.485504521,-2,0.659994635,60.07365653,0.051054119,0,0,0,0,0,0,0
3.010911945,-0.786911974,0.495262689,4.622052281,3.308780973,0,4.326898577,10,7.91568882,0,0,0,0,0,0,0
3.34263156,0.802315047,2.66699876,3.768937544,3.222993102,2,3.011998268,3.925555476,5.312878904,1,2,0,0,2,0,0
3.297690982,0.094739398,0.983470665,6.831722196,2.897693391,-1,3.43541699,10,5.919737572,0,0,1,0,0,0,0
2.594634722,-0.588504889,2.786840413,0.071237632,2.736555584,-1,2.085726996,32.70891182,3.005046214,1,2,0,0,1,0,0
2.763964948,0.127743248,2.267595788,8.085622963,3.519978574,1,1.219533368,47.9057582,1.47406678,1,0,0,0,0,0,0
2.34126344,0.440825626,1.057083655,4.836276461,2.103533695,-2,4.067548421,10,6.989797442,0,0,1,1,0,0,0
2.668223362,-0.650009887,1.830548869,-1.129805914,2.304570702,-2,2.379027366,18.12719254,3.600590109,0,0,0,0,0,0,0
3.690714756,0.317430657,2.11978706,1.48601501,3.530066249,2,0.616154767,57.30214966,0.348380065,1,2,0,0,2,0,0
2.288481403,-0.025514637,0.998134222,3.584507894,1.716646535,-2,1.650475101,39.27141946,2.291934077,0,0,0,1,0,0,0
3.275746378,-0.949564179,1.573012328,4.314828652,2.561447617,-2,2.597999998,22.54557839,4.039636149,0,0,0,0,0,0,0
2.579958235,-0.666901661,1.078843338,1.054647566,1.570723916,-2,0.383084177,68.97266554,0.031537443,1,0,0,0,0,0,0
3.027290102,-0.863364725,2.22546923,-1.30813572,2.225922852,-2,1.888759021,45.61020644,2.262473871,0,0,0,0,1,0,0
2.508064814,-0.36756047,1.942318791,3.950514504,2.633211119,-2,2.955425865,13.01459828,4.681073159,1,0,0,0,0,0,0
2.847479931,0.528326266,1.589200014,7.090028082,2.414918908,-2,1.573212139,38.26656863,1.925913543,0,0,0,0,0,0,0
2.898260604,-0.834455729,1.492698108,1.349389639,2.19426023,-2,1.443591635,40.4088091,2.12960519,0,0,0,0,0,0,0
3.371782638,-1.671456067,2.419830695,-0.665828486,2.761077932,-2,1.550002461,42.74917232,2.088647058,0,0,0,0,0,0,0
2.079906238,-0.399448118,1.067083234,6.621339599,2.720063541,-2,0,88.68394861,0,0,0,0,0,0,0,0
2.584238232,0.366314947,1.836777361,6.350424847,3.212872179,1,4.602210592,10,8.439605633,0,0,0,0,0,0,0
3.081949521,-0.497281978,2.140107354,1.957604291,2.968058737,-1,1.684255247,36.10806791,2.309665522,1,0,0,0,0,0,0
3.518079617,-0.478278769,2.731341421,4.587088366,4.074819975,2,2.242271357,20.7786829,3.802931484,1,2,0,0,2,0,0
3.149232184,-0.518224382,1.818646442,2.286448871,2.669778278,-2,1.320418223,42.83942978,1.959475846,0,0,0,0,0,0,0
2.30563718,-1.616430584,0.905196039,0.62258519,2.005102736,-2,2.650095254,15.3844549,4.385585366,1,0,0,0,0,0,0
1.688501342,-1.222322319,0.908046185,3.322114586,1.652405333,-2,3.292383743,10,5.858642142,0,0,0,0,0,0,0
3.064011983,-0.708815944,2.413821122,2.836214229,2.857286312,-2,3.282766281,1.137603187,5.763613732,0,0,0,0,0,0,0
3.475137868,0.261955345,2.914283334,7.935437597,3.974738997,2,0.998553354,51.65189019,1.175418579,1,2,0,0,2,0,0
3.866228529,0.944593733,2.463918993,6.092447125,3.482232767,2,1.18383965,54.18504396,0.92896156,1,2,1,0,2,0,0
2.993470512,-0.063078584,2.518777583,1.10885318,2.641492714,-1,3.34673092,10,5.935160118,0,0,0,1,0,0,0
2.568386192,-0.313733564,1.126999209,4.572053417,2.496539049,-2,2.60251169,22.88751164,3.745224171,0,1,0,0,0,0,0
3.010715248,-1.004280638,1.843959825,3.106215457,2.755871162,-2,1.423947506,48.12583076,1.87401174,0,0,0,0,0,0,0
3.264910992,0.749751692,0.919162732,9.281791386,3.033920865,0,2.014970034,34.57496379,2.680040794,0,0,0,0,0,0,0
3.103099372,-1.424386518,0.22254958,2.120600933,1.950368766,-2,2.630953048,14.9759607,4.260842868,0,0,0,0,0,0,0
3.589269071,-0.753486032,1.088071226,4.442922069,3.015595344,-1,3.273765405,10,5.531996933,0,0,0,0,0,0,0
3.186504448,0.233097171,3.492284455,1.685783024,3.084164338,1,2.418426739,16.52981346,3.949328426,0,0,0,0,0,0,0
2.594754181,0.504349154,0.883338024,6.381689537,2.83677806,1,2.600123595,21.54210689,4.267983231,0,0,0,0,0,0,0
2.155701174,-0.217060163,1.069798239,3.157358422,2.049985366,-2,0.259311514,55.97102569,0.089382119,0,1,0,0,0,0,0
3.544060425,1.226192113,3.461848901,2.190763764,3.755508362,2,1.306549697,57.49003559,1.465586193,0,2,0,0,2,0,0
2.962544513,-1.616320624,0.078613664,-1.077617011,1.375432856,-2,0.463234385,62.82285651,0,1,0,0,0,0,0,0
2.721787361,-0.42108143,2.576063782,4.868610998,3.721592314,1,1.642448347,41.19116152,2.348178106,0,0,0,0,0,0,0
3.075106418,0.595344204,0.298686279,9.437092687,3.315270335,1,1.672444254,32.4426972,2.657238721,0,0,0,0,2,0,0
2.839125478,0.362693933,1.107642491,6.079621488,2.977265842,1,1.543608325,43.9396362,1.590623931,0,0,0,0,0,0,0
3.368961277,-0.601677541,0.890478983,4.322869182,3.074657562,-1,2.168913488,28.76226039,3.644386297,0,0,0,0,0,0,0
2.813855181,-0.221468711,2.893768754,1.2252699,2.635347884,-1,1.562099054,39.55981641,2.292726066,0,0,0,0,0,0,0
2.722461287,-0.690240264,0.826213217,6.845824801,2.53430077,-2,1.610637436,36.17972997,2.480159593,0,0,0,0,1,0,0
2.278817999,0.697854139,1.17368562,4.462571266,1.808000359,-2,2.703171621,13.41815392,4.489840216,0,0,0,0,0,0,0
2.48783538,0.190353173,2.173394205,4.079524193,1.956658294,-2,2.145569321,25.23750945,3.205614207,0,0,0,0,0,0,0
3.029383324,0.343999398,3.769717162,2.631824442,3.970403765,2,2.260374858,19.96559372,3.723978935,1,2,0,0,2,0,0
2.948867251,-0.090237624,3.297508157,6.148544322,3.172054388,-1,2.128671228,31.80857896,2.347244798,0,0,0,0,0,0,0
2.636619776,0.447400814,1.789915887,3.415135039,2.845984594,1,1.705562057,35.83044813,2.020031514,0,0,0,1,0,0,0
2.553266385,-0.073419101,2.738330815,5.827453811,3.138466483,0,1.226626769,49.03940814,1.397798245,0,0,0,0,0,0,0
3.976354307,0.954446255,1.865654836,7.0757185,4.081901119,2,2.256821368,21.46411954,4.093130757,1,2,0,0,2,0,0
2.730813104,0.169967819,3.063822386,2.284574846,3.282089139,1,2.791896158,11.47788424,4.507683748,0,0,0,0,0,0,0
2.926561769,-0.291148634,0.593337664,4.545387114,1.699791284,-2,1.615308548,39.41261609,1.953756295,0,0,0,0,0,0,0
3.078215971,-0.03573336,2.342622376,4.46558101,2.967194749,-1,1.988958168,23.79852078,3.214807713,0,0,0,0,0,0,0
4.026810509,0.874864701,3.467462535,6.423228512,4.638487873,2,1.807451669,36.29276578,2.255016825,1,2,1,0,2,0,0
2.951135909,0.736819307,1.350480944,7.615100948,2.993487548,1,0.51430966,70.23844831,0,0,1,0,0,0,0,0
3.126636353,-0.112719579,1.088156575,0.576378602,2.179144122,-1,0.738638671,65.228552,0.365846253,0,0,0,0,0,0,0
1.973097615,0.334693369,1.767297142,3.637500328,2.364914571,-1,2.756105724,12.86229327,4.481032738,0,0,0,0,0,0,0
2.441147002,0.223360112,3.818062759,2.587978834,2.265083647,-2,2.707550281,15.08117752,4.237867931,0,0,0,0,0,0,0
2.843454162,1.12952621,2.0195085,8.781574545,4.179408058,2,2.156802554,22.61773303,3.900958321,1,2,0,0,2,0,0
3.157755154,0.31680443,2.088844106,5.489722868,3.549638017,2,1.951042056,40.78859585,2.532513422,1,2,0,0,2,0,0
3.170511362,-0.699836328,1.906872599,-0.44281301,1.711940728,-2,0.779072541,66.40558826,0.355074341,0,0,0,0,0,0,0
2.468948886,-2.003761614,2.051905919,0.180194073,1.181515347,-2,2.748233903,12.76114705,4.614506592,0,0,1,0,0,0,0
2.834751777,-0.796334247,1.527464662,0.924482914,1.898318028,-2,1.877252117,37.85406133,2.604442004,0,2,0,0,0,0,0
2.450332087,-1.459651317,1.683431281,0.549094074,2.004327062,-2,3.457239128,10,6.260728334,0,1,0,0,0,0,0
2.918005897,0.649777856,2.519373866,3.970534505,3.305163707,2,2.441026106,22.42764103,4.048960485,1,2,0,0,2,0,0
1.966213639,-2.036242241,2.806729416,-0.203030747,1.923361969,-2,3.076084877,10,5.208462933,0,0,0,0,0,0,0
3.043227163,0.559588527,2.012735475,7.981430547,3.293975757,1,0.606131628,64.59165439,0,0,0,0,0,0,0,0
3.101323589,0.443079445,1.134265202,4.043982095,2.470401177,-1,2.934384934,8.010939422,4.701882,0,2,0,0,0,0,0
3.840562969,-0.175736252,1.989276517,5.30845871,3.15475589,-1,2.166317902,27.03886428,3.248421592,0,0,0,0,0,0,0
3.043665722,-0.441671325,2.836312575,0.80968671,2.67667209,-2,2.665679657,19.55773662,4.147461549,0,0,0,0,0,0,0
2.642247446,-0.30026874,0.881689175,1.235652644,1.848189816,-2,1.741227684,35.80324987,2.834483213,0,0,1,0,0,0,0
2.968438407,-0.024922284,1.385953574,5.177892399,2.492303709,-2,2.368296022,26.92440782,3.581899445,0,0,0,0,0,0,0
3.047915183,0.101026413,2.088375952,4.391078634,2.674641616,-1,0.873498227,54.1644317,0.457636859,0,0,0,0,0,0,0
2.646638516,-0.185250153,0.780060991,1.875389708,1.877462373,-2,3.159336306,6.363734726,5.29761363,0,0,0,1,0,0,0
2.195568347,0.185733738,0.618497673,6.098698272,2.579787872,-1,1.56563338,36.0367722,2.434607343,0,0,0,0,0,0,0
3.175166897,-0.489076869,2.297158244,3.572959419,2.671397494,-2,1.716147589,33.29263707,2.617338855,0,0,0,0,0,0,0
3.506592033,0.188034523,2.297023769,8.736904907,4.324974426,2,2.316431489,24.27235296,3.190384112,1,2,0,0,1,0,0
3.456859762,-0.143050391,0.666853332,1.531048666,2.225458728,-2,0.852016358,55.33083336,0.85526804,0,0,0,0,0,0,0
2.035454839,0.799687848,1.977594163,6.753637125,2.459182128,-1,2.434973588,19.9415806,3.977852006,0,0,0,0,0,0,0
2.469302907,-0.300332889,1.133110945,1.348947348,2.111168113,-2,0.416994889,60.15271395,0.387803135,0,0,1,0,0,0,0
2.540690822,-0.828819713,0.891126331,-1.345818114,1.057341995,-2,2.197233534,15.68188825,3.749882307,0,0,0,1,0,0,0
3.321440039,1.140642776,2.430429608,7.578982925,3.31051964,2,2.370211078,20.17866927,3.662644244,1,2,0,0,2,0,0
3.369011954,0.463433633,2.866681399,5.052090966,3.789663368,2,2.160962946,35.6404568,3.242740965,1,2,0,0,1,0,0
1.537315686,-2.397747637,0.384790888,-1.62343167,-0.021766375,-2,3.134382626,10,5.721542403,1,0,1,0,0,0,0
2.771921423,-0.876609883,1.077796194,4.177549076,2.429168383,-2,1.352589152,46.16111393,1.418632619,0,0,0,0,2,0,0
3.405988821,-0.068957143,3.445068818,3.069334357,4.307637798,2,0.931862508,68.08290903,0.368392155,1,2,0,1,0,0,0
3.183262129,0.496581071,1.585060778,7.122405845,3.622687566,2,2.288157122,27.5612507,3.235912618,1,2,0,0,2,0,0
2.886175605,0.158701446,2.920898787,4.729204084,3.570021918,2,2.006232875,29.85268638,3.17689219,1,2,0,0,2,0,0
2.905959823,-0.561828739,0.72394197,-0.180738619,1.290471145,-2,1.372288186,57.21965126,1.412344368,0,0,0,0,0,0,0
2.845218595,0.217407412,1.053130245,3.628990433,2.17679587,-2,1.114730805,52.73083348,1.024497098,0,0,0,0,0,0,0
2.767844256,-0.551055675,0.427784757,1.805959466,2.265958984,-2,2.016783238,36.89912447,3.055862874,0,0,0,0,0,0,0
2.476165717,-0.471338343,1.453941505,2.745884976,2.230426438,-2,0.386930752,60.79762644,0,0,0,0,0,0,0,0
3.383790788,-0.566513492,2.25437368,3.84542583,3.150894597,-1,1.958015195,41.0361195,2.500637785,0,0,0,0,0,0,0
2.822880376,-1.297413768,0.675760486,2.921589167,2.106685649,-2,1.653862644,35.41951153,2.392350373,0,0,0,0,0,0,0
3.158829692,-0.489517206,1.795818916,0.265780141,2.456173136,-2,1.053378544,52.62651141,0.936478758,0,0,0,0,0,0,0
1.861993172,-0.284818245,1.044369505,-0.523524779,1.545000211,-2,2.871435017,3.712496437,4.728607085,0,0,0,0,0,0,0
3.175081015,-1.299457015,1.905406804,1.846203003,2.684095389,-2,2.811795535,21.51741227,3.910295635,0,0,0,0,0,0,0
2.260995001,-0.154755579,1.606213099,2.163144867,1.754334132,-2,0.594698664,57.02985975,0.316895507,0,0,0,0,0,0,0
2.221990406,-0.761242085,2.111925679,1.481602079,2.180401187,-2,2.95327489,4.106320573,5.338215323,0,0,0,0,0,0,0
2.994620575,-0.689692931,2.197745741,2.106527635,2.715435997,-2,2.735258455,10.52514184,4.926934154,0,0,0,0,0,0,0
3.307702693,0.17355864,1.607751289,2.387884559,2.281982996,-2,1.690059949,35.81395193,1.943839912,0,1,0,0,0,0,0
2.452262393,-0.639815983,0.782703283,6.428494622,2.492697614,-2,2.19339055,23.27316295,3.310917653,0,0,0,0,0,0,0
2.347514857,-0.265739119,1.752638385,1.866359582,1.831669419,-2,1.063560683,49.02541577,0.930794778,0,0,0,0,0,0,0
3.417941967,0.173896755,2.067841118,4.368675427,3.527979266,2,1.416074926,28.96662257,2.206418385,1,2,0,0,2,0,0
2.549765612,-0.320710404,1.78725504,2.7708914,1.928251249,-2,2.058362158,33.3041615,2.972138146,0,0,1,0,0,0,0
2.844896973,-1.431776017,0.113539578,2.633990029,2.220824723,-2,2.075374338,35.91323091,2.710242412,0,0,0,0,0,0,0
2.535583768,-0.483489215,1.84396618,4.542602809,2.609697063,-2,0.857273885,54.59779594,0.965606497,0,0,0,0,0,0,0
2.896497756,0.294749178,1.626521189,4.809317539,2.45551023,-2,1.90087721,28.31756855,2.73360585,0,0,0,0,0,0,0
3.786650008,-0.459301393,0.832359227,0.856167826,2.540685634,-1,3.007647135,10,5.242091544,0,0,0,0,0,0,0
2.008193322,-0.873808865,1.629078841,5.512560825,2.352053026,-2,1.337220596,50.92730975,1.538045454,0,0,0,0,0,0,0
2.961139444,-0.599636665,1.415285478,5.52788178,2.690602101,-2,3.452580505,7.328475551,5.269600308,0,0,0,0,0,0,0
3.09965415,-0.045368619,2.449503732,3.775665417,2.464528875,-2,1.633057079,41.44624285,2.177898273,0,0,0,0,0,0,0
2.552810219,-0.949131798,1.814227574,0.740445664,2.413253325,-2,1.12799785,50.9737993,1.648311435,0,0,0,0,0,0,0
2.772455607,-0.99822181,1.703787637,-2.737819887,2.022391886,-2,2.728888366,10.63166741,4.856226208,0,0,0,0,0,0,0
2.521015189,0.326804732,2.776192412,1.259050915,3.023056525,2,2.11927048,27.97635434,3.088001186,1,2,0,0,2,0,0
3.284532224,-0.594407991,2.370254792,4.595483151,3.232289569,-1,2.027108781,25.75531602,3.368476055,0,0,0,0,0,0,0
2.604560985,0.5438497,0.699188554,5.673126135,3.035108779,2,2.797410408,11.68449109,4.219174377,0,0,0,0,2,0,0
2.501315678,-1.468573802,1.638587216,2.323977446,2.527247972,-2,1.469535865,51.14976298,1.322249061,0,0,0,0,0,0,0
2.304682395,0.576870432,2.731600947,10.12997642,4.199365342,2,2.615438708,20.58585114,4.234196051,1,1,0,0,2,0,0
3.17471605,-0.133934617,1.090268465,3.343005447,2.366326458,-2,3.079443002,10.35959313,5.065213645,0,1,0,0,0,0,0
3.145937042,-0.07865343,2.582676572,2.290293037,2.765217996,-1,2.711885559,11.69435813,4.708027521,0,0,0,0,0,0,0
2.768628467,1.243107736,3.164359696,3.325915827,3.284830047,2,1.022654269,49.96847985,1.3263924,1,1,0,0,2,0,0
2.481898372,-0.314851058,2.311087866,5.218207996,3.065991749,-1,2.608514344,5.123442887,5.032182063,0,1,0,0,0,0,0
2.979000321,0.34816844,1.651341897,7.734174764,3.477771092,1,2.116613833,24.13605372,3.209233245,0,1,0,0,0,0,0
2.985480775,-0.117055895,1.809103605,3.161003037,2.709127377,-1,2.176248891,28.41776542,3.388643827,0,1,0,0,0,0,0
2.870878009,0.084891159,3.228719657,9.890577997,4.502268381,2,2.145058628,17.85936034,3.763271245,1,1,0,0,2,0,0
2.868205172,0.501919011,3.012877925,6.085803774,3.92481138,2,1.387624144,45.9020744,1.874358551,0,1,0,0,2,0,0
3.462369256,1.253222129,2.921956012,12.57837481,4.994797218,2,2.092196724,19.57467114,3.599638415,1,1,0,0,2,0,0
3.152141169,0.572199997,1.314728776,5.507183274,2.261600366,-2,1.504121708,35.80480624,2.16026418,1,1,0,0,0,0,0
2.621755992,-0.183039052,1.094132954,-1.421112434,1.836733066,-2,2.487605124,17.89539801,4.126933015,0,1,1,0,0,0,0
3.43081845,-0.822063647,1.536227852,-0.194789279,2.779058393,-1,2.91500291,13.61620437,4.771859467,0,1,1,0,0,0,0
3.507656375,0.183683689,1.737466363,2.525165026,3.49290705,2,3.223150997,5.520101656,5.339199021,1,1,0,0,2,0,0
3.140536841,0.205449228,2.411537332,3.534693023,3.085419334,1,2.72749561,15.00943445,4.640196097,0,1,0,0,0,0,0
2.513124016,-0.580171745,1.238428809,0.907065492,1.862202411,-2,2.018308144,29.39418554,3.08183614,0,1,1,0,0,0,0
2.245923078,-1.800780572,1.78248434,3.263834121,2.20141,-2,2.095351326,36.94125114,2.993818828,0,1,1,0,0,0,0
3.698838433,-0.229638205,1.118512899,3.342386875,2.952325397,0,3.605867447,4.367244376,5.38161343,0,1,0,0,1,0,0
2.476027688,-1.047249896,1.090363805,1.04344655,2.175975647,-2,3.538044808,10,6.008644059,0,1,1,0,0,0,0
3.776464646,0.021751437,2.807680356,5.287089165,3.907598972,2,1.599591805,39.18622527,2.204062667,1,1,0,0,0,0,0
2.871442984,0.353610513,1.401787119,3.099879413,2.474016954,-1,0.595143529,53.17937892,0.491067941,0,1,0,0,1,0,0
2.885920812,0.720549079,3.517680295,6.61690964,3.937425576,2,1.288269937,51.87276462,0.980456894,0,1,0,0,2,0,0
2.801890699,-0.245655063,0.922354219,7.351023392,2.4643476,-2,1.43894922,46.31233049,2.210401782,0,1,1,0,0,0,0
2.727809722,0.096686991,2.121923382,1.351672752,2.167143417,-2,1.250734366,53.33349951,0.846174413,0,2,1,0,0,0,0
3.048999256,-0.293206763,1.508196441,5.4515393,2.982880379,-1,1.270663582,52.96446688,1.287706968,0,1,0,0,0,0,0
3.374217969,-0.31269537,3.249487852,4.560513816,3.451054062,0,3.159470282,10,5.42907932,0,1,1,0,0,0,0
3.746810391,0.595823398,0.774094094,5.354326066,2.525072037,-1,1.820321779,38.28964743,2.021215147,0,0,0,0,0,0,0
2.976023415,-0.823390512,2.862815504,-0.323178607,1.946761997,-2,2.573552457,15.574985,4.658005866,0,1,1,0,0,0,0
3.941714886,-0.034008336,0.751216939,2.027162798,3.424041014,2,1.543690271,47.28392904,1.836526673,1,1,0,0,2,0,0
2.391544992,-0.248351745,1.413543181,-0.050351129,0.870949206,-2,2.612254352,17.13905564,4.365293496,0,1,1,0,1,0,0
2.647888187,-0.393901446,1.893851449,2.36297164,2.310220081,-2,0,81.46647529,0,1,1,1,0,0,0,0
3.921376527,0.314828412,2.70614733,3.477245008,3.419068222,1,0.746279789,62.8592321,0.364247654,0,1,0,0,0,0,0
3.166384418,-0.939381922,3.365432637,-1.194179153,2.646478302,-2,0.829605722,48.88697171,0.943482396,0,1,1,0,0,0,0
2.867323175,0.32760265,1.888172637,3.227905851,3.361326854,2,2.209834688,21.56803587,3.286222908,1,1,1,0,0,0,0
2.027216349,-0.697929673,1.854568663,-0.0790619,1.854291177,-2,2.093263024,24.51437297,3.362929924,0,1,1,0,0,0,0
2.811569101,0.682330469,1.303591091,2.180331644,2.824408046,2,1.038139493,53.14597297,1.031059947,0,2,0,0,2,0,0
2.572528355,-0.552812968,1.845378253,4.397091522,2.967510172,-1,2.388597083,19.186898,3.696155998,1,1,0,0,0,0,0
2.85347782,-1.322095093,1.766165314,3.424622826,2.928805298,-2,2.738550934,18.94959023,4.315823453,0,1,1,0,1,0,0
2.54521628,-0.15305354,0.25211852,7.415031263,2.811959463,-1,1.046770633,54.04496264,1.448030924,0,1,0,0,0,0,0
2.652306347,-0.305915877,2.550145345,2.759220232,2.213965081,-2,2.490410448,16.31793258,3.991162317,0,1,1,0,0,0,0
2.651204233,0.108951622,1.785589584,2.379992859,2.833502417,0,2.231938835,18.92037536,3.605434162,0,1,0,0,2,0,0
2.722140334,-0.05845098,0.847598702,0.255442156,1.717408832,-2,0.6221626,64.04956137,0.324191256,1,1,1,0,0,0,0
2.289689667,-0.717063229,1.074013134,3.27779274,2.655153173,-2,3.360030113,10,6.164234969,0,1,1,0,0,0,0
2.230340343,-1.268967143,-0.007014288,3.215695229,1.939670809,-2,1.725450648,38.09524076,2.377848041,0,1,1,0,0,0,0
2.747781744,-0.175216482,3.443499965,0.348945131,2.329868526,-2,2.942664488,4.100125206,4.919717703,0,1,1,0,0,0,0
3.151371313,-0.150853917,0.390146756,6.229413464,2.612670029,-2,2.098421239,37.29633057,2.780655341,0,1,1,0,0,0,0
